date,steps,distance,runDistance,calories
2022-03-02,7468,5601,717,257
2022-03-03,5770,4350,369,199
2022-03-04,11704,8481,407,369
2022-03-05,4386,3141,729,154
2022-03-06,5066,3618,380,174
2022-03-07,2842,2310,1243,136
2022-03-08,3261,2345,921,129
2022-03-09,7222,5665,1423,287
2022-03-10,0,0,0,0
2022-03-11,0,0,0,0
2022-03-12,0,0,0,0
2022-03-13,0,0,0,0
2022-03-14,0,0,0,0
2022-03-15,0,0,0,0
2022-03-16,0,0,0,0
2022-03-17,0,0,0,0
2022-03-18,0,0,0,0
2022-03-19,0,0,0,0
2022-03-20,6422,4934,1888,281
2022-03-21,8072,5850,699,257
2022-03-22,9508,7466,2425,376
2022-03-23,11476,9331,3233,483
2022-03-24,11410,9252,3397,467
2022-03-25,8687,6886,2073,349
2022-03-26,12429,9222,1355,426
2022-03-27,4269,3043,138,133
2022-03-28,8188,6248,1531,305
2022-03-29,8213,6395,1815,329
2022-03-30,6195,4534,310,206
2022-03-31,9493,7258,1903,356
2022-04-01,11588,9169,2986,458
2022-04-02,5264,3773,322,158
2022-04-03,5474,4122,903,211
2022-04-04,9107,7015,1741,338
2022-04-05,6550,4897,710,228
2022-04-06,14662,11104,2997,530
2022-04-07,12945,10523,4470,546
2022-04-08,10362,8403,2645,419
2022-04-09,5546,4640,1946,261
2022-04-10,7144,6226,3238,353
2022-04-11,12055,9788,3542,499
2022-04-12,10490,7964,2214,377
2022-04-13,12860,9617,1570,421
2022-04-14,9090,6574,630,292
2022-04-15,7536,5679,1107,267
2022-04-16,7239,5160,145,221
2022-04-17,3554,3082,1944,179
2022-04-18,4234,3847,2675,254
2022-04-19,1093,794,195,40
2022-04-20,5260,4245,1928,235
2022-04-21,2035,1761,1042,115
2022-04-22,6761,6549,4648,427
2022-04-23,4747,3401,228,153
2022-04-24,7839,7090,4323,423
2022-04-25,9864,8564,3753,482
2022-04-26,11916,10460,4923,576
2022-04-27,10533,8350,2289,415
2022-04-28,7336,5384,174,236
2022-04-29,7058,5863,2265,307
2022-04-30,7218,5627,1820,300
2022-05-01,13693,10670,3269,546
2022-05-02,11742,10033,4524,544
2022-05-03,9190,7730,3045,420
2022-05-04,7192,5393,982,245
2022-05-05,0,0,0,0
2022-05-06,0,0,0,0
2022-05-07,0,0,0,0
2022-05-08,0,0,0,0
2022-05-09,0,0,0,0
2022-05-10,0,0,0,0
2022-05-11,0,0,0,0
2022-05-12,0,0,0,0
2022-05-13,0,0,0,0
2022-05-14,0,0,0,0
2022-05-15,0,0,0,0
2022-05-16,0,0,0,0
2022-05-17,0,0,0,0
2022-05-18,6450,4701,125,196
2022-05-19,6302,4857,740,227
2022-05-20,8056,6224,1300,307
2022-05-21,5553,4195,1000,215
2022-05-22,3948,2901,604,144
2022-05-23,10063,8071,2641,413
2022-05-24,8209,6708,2441,352
2022-05-25,5353,4077,756,191
2022-05-26,853,602,233,34
2022-05-27,1354,1063,505,65
2022-05-28,790,538,166,39
2022-05-29,1488,1347,962,91
2022-05-30,5979,4341,151,187
2022-05-31,10374,9063,4258,509
2022-06-01,8078,6085,1177,281
2022-06-02,6543,5041,868,235
2022-06-03,7741,5882,902,272
2022-06-04,3152,2384,173,112
2022-06-05,5699,4107,175,184
2022-06-06,6972,5828,3631,339
2022-06-07,8071,6232,1467,302
2022-06-08,1336,959,368,57
2022-06-09,2587,1969,889,110
2022-06-10,2379,1907,1125,112
2022-06-11,1863,1455,750,88
2022-06-12,971,681,206,38
2022-06-13,3499,2605,965,149
2022-06-14,2931,2418,1453,156
