date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2023-03-08,75,150,48,2023-03-08 00:05:00+0000,2023-03-08 05:49:00+0000,71,
2023-03-09,106,315,0,2023-03-08 22:40:00+0000,2023-03-09 05:48:00+0000,7,
2023-03-10,75,227,2,2023-03-09 23:59:00+0000,2023-03-10 05:50:00+0000,47,
2023-03-11,75,240,0,2023-03-11 03:06:00+0000,2023-03-11 09:12:00+0000,51,
2023-03-12,57,347,0,2023-03-12 03:17:00+0000,2023-03-12 11:36:00+0000,95,
2023-03-13,75,267,0,2023-03-12 23:55:00+0000,2023-03-13 05:49:00+0000,12,
2023-03-14,109,386,1,2023-03-14 00:52:00+0000,2023-03-14 09:23:00+0000,15,
2023-03-15,68,239,26,2023-03-15 01:08:00+0000,2023-03-15 07:00:00+0000,19,
2023-03-16,65,249,0,2023-03-15 23:39:00+0000,2023-03-16 06:04:00+0000,71,
2023-03-17,87,232,0,2023-03-16 23:27:00+0000,2023-03-17 05:51:00+0000,65,
2023-03-18,92,253,0,2023-03-18 00:06:00+0000,2023-03-18 07:20:00+0000,89,
2023-03-19,80,311,0,2023-03-19 00:50:00+0000,2023-03-19 07:56:00+0000,35,
2023-03-20,84,264,8,2023-03-19 23:15:00+0000,2023-03-20 05:46:00+0000,35,"[{\"start\":\"2022-01-08 00:42:12+0000\",\"end\":\"2022-01-08 00:42:29+0000\"}]"
2023-03-21,91,311,0,2023-03-20 23:36:00+0000,2023-03-21 07:03:00+0000,45,
2023-03-22,96,343,0,2023-03-21 23:41:00+0000,2023-03-22 07:00:00+0000,0,
2023-03-23,50,223,0,2023-03-23 00:51:00+0000,2023-03-23 05:50:00+0000,26,
2023-03-24,69,243,0,2023-03-24 00:00:00+0000,2023-03-24 05:53:00+0000,41,
2023-03-25,114,331,0,2023-03-25 01:29:00+0000,2023-03-25 09:43:00+0000,49,
2023-03-26,66,309,0,2023-03-26 02:43:00+0000,2023-03-26 09:57:00+0000,59,
2023-03-27,63,225,0,2023-03-26 23:37:00+0000,2023-03-27 04:51:00+0000,26,
2023-03-28,78,224,0,2023-03-27 23:34:00+0000,2023-03-28 04:49:00+0000,13,
2023-03-29,53,182,0,2023-03-28 23:14:00+0000,2023-03-29 04:09:00+0000,60,
2023-03-30,47,233,0,2023-03-29 22:18:00+0000,2023-03-30 03:22:00+0000,24,
2023-04-19,0,0,0,2023-04-19 22:00:00+0000,2023-04-19 22:00:00+0000,0,
2023-04-20,101,312,0,2023-04-20 00:20:00+0000,2023-04-20 08:11:00+0000,58,
